Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1885-11,-0.36924258,-0.5357623,-0.20272289
1885-12,-0.20641221,-0.41972396,0.006899544
1886-01,-0.45990536,-0.61278033,-0.3070304
1886-02,-0.4721006,-0.62141585,-0.32278535
1886-03,-0.46818253,-0.6166697,-0.31969538
1886-04,-0.34569755,-0.49149114,-0.19990395
1886-05,-0.28081703,-0.4494674,-0.11216669
1886-06,-0.49810818,-0.6743496,-0.32186678
1886-07,-0.2987288,-0.45564714,-0.14181045
1886-08,-0.45071983,-0.6460374,-0.2554023
1886-09,-0.38106662,-0.5363582,-0.22577511
1886-10,-0.40069115,-0.54953027,-0.25185204
1886-11,-0.47781637,-0.64902234,-0.3066104
1886-12,-0.38267037,-0.5940971,-0.17124371
1887-01,-0.73428106,-0.8925607,-0.5760014
1887-02,-0.6482586,-0.80518293,-0.49133426
1887-03,-0.43718782,-0.5941597,-0.2802159
1887-04,-0.47495782,-0.62913483,-0.3207808
1887-05,-0.5134817,-0.691183,-0.33578032
1887-06,-0.5125247,-0.7041049,-0.32094455
1887-07,-0.37906343,-0.5474516,-0.21067522
1887-08,-0.4396923,-0.63629043,-0.24309416
1887-09,-0.38256955,-0.54937255,-0.21576655
1887-10,-0.43613994,-0.58896923,-0.28331065
1887-11,-0.4351434,-0.6090634,-0.26122344
1887-12,-0.4896017,-0.6954374,-0.28376603
1888-01,-0.6163217,-0.78318226,-0.44946116
1888-02,-0.5874581,-0.76544523,-0.40947098
1888-03,-0.5939151,-0.7764565,-0.4113737
1888-04,-0.3461885,-0.5063359,-0.18604106
1888-05,-0.40130708,-0.580611,-0.22200313
1888-06,-0.31537616,-0.4962369,-0.1345154
1888-07,-0.34730932,-0.5172188,-0.17739977
1888-08,-0.30579466,-0.5024294,-0.10915991
1888-09,-0.32200122,-0.49139005,-0.15261242
1888-10,-0.16091803,-0.32115626,-0.0006798134
1888-11,-0.25771058,-0.43646148,-0.07895968
1888-12,-0.2490321,-0.4649088,-0.03315537
1889-01,-0.29407766,-0.47581485,-0.112340495
1889-02,-0.0067768414,-0.19226708,0.17871338
1889-03,-0.08154017,-0.273349,0.11026865
1889-04,-0.08457905,-0.24982291,0.08066482
1889-05,-0.15935221,-0.33803442,0.019329967
1889-06,-0.21436985,-0.40984657,-0.01889313
1889-07,-0.30829278,-0.49192646,-0.12465905
1889-08,-0.3176886,-0.5181424,-0.117234804
1889-09,-0.35336733,-0.52452487,-0.18220979
1889-10,-0.36434734,-0.52920145,-0.19949324
1889-11,-0.5109361,-0.6787241,-0.34314802
1889-12,-0.3469647,-0.55257785,-0.14135154
1890-01,-0.5175422,-0.672221,-0.36286342
1890-02,-0.45065132,-0.6286914,-0.27261126
1890-03,-0.6189983,-0.80378354,-0.43421307
1890-04,-0.49437425,-0.6824251,-0.30632347
1890-05,-0.5319333,-0.7151952,-0.3486714
1890-06,-0.4866835,-0.6816444,-0.2917226
1890-07,-0.4880181,-0.6659532,-0.31008297
1890-08,-0.47100437,-0.6774262,-0.26458248
1890-09,-0.4780706,-0.65062445,-0.3055167
1890-10,-0.440119,-0.60270137,-0.2775366
1890-11,-0.6707653,-0.83850217,-0.5030284
1890-12,-0.38338253,-0.57930315,-0.18746194
1891-01,-0.57532763,-0.7664253,-0.38422993
1891-02,-0.5946699,-0.79949754,-0.38984227
1891-03,-0.35839027,-0.54982007,-0.16696048
1891-04,-0.43955818,-0.63646686,-0.24264953
1891-05,-0.3360114,-0.5315373,-0.14048555
1891-06,-0.36305222,-0.55896825,-0.16713622
1891-07,-0.40192598,-0.5899993,-0.21385261
1891-08,-0.361849,-0.57891315,-0.1447849
1891-09,-0.26135054,-0.45490777,-0.0677933
1891-10,-0.3355567,-0.4999874,-0.17112596
1891-11,-0.5298918,-0.7070814,-0.35270217
1891-12,-0.22281022,-0.435667,-0.009953451
1892-01,-0.47286862,-0.66583246,-0.2799048
1892-02,-0.28966978,-0.48220262,-0.09713691
1892-03,-0.5237463,-0.7150907,-0.332402
1892-04,-0.53819203,-0.74408746,-0.3322966
1892-05,-0.4521036,-0.6480271,-0.2561801
1892-06,-0.4360976,-0.63119304,-0.24100214
1892-07,-0.59175736,-0.79616493,-0.38734975
1892-08,-0.51206946,-0.7254755,-0.29866353
1892-09,-0.3915527,-0.5712931,-0.21181224
1892-10,-0.43756062,-0.62005436,-0.25506684
1892-11,-0.6629075,-0.84555656,-0.4802584
1892-12,-0.78974277,-1.0010275,-0.578458
1893-01,-1.0416374,-1.2204044,-0.8628705
1893-02,-0.8476308,-1.0280677,-0.66719395
1893-03,-0.42150795,-0.6122546,-0.23076127
1893-04,-0.5091835,-0.69541234,-0.32295477
1893-05,-0.57003677,-0.7633457,-0.37672785
1893-06,-0.45483083,-0.6555219,-0.25413972
1893-07,-0.25279275,-0.44141766,-0.06416786
1893-08,-0.2957491,-0.5118924,-0.07960583
1893-09,-0.3677744,-0.55287784,-0.18267095
1893-10,-0.30558705,-0.48039752,-0.13077657
1893-11,-0.4024597,-0.5788353,-0.22608411
1893-12,-0.47778496,-0.69741714,-0.25815278
1894-01,-0.63134724,-0.81072575,-0.4519687
1894-02,-0.41954976,-0.6169219,-0.22217762
1894-03,-0.49812648,-0.7025169,-0.29373607
1894-04,-0.52397937,-0.7205747,-0.32738408
1894-05,-0.51358616,-0.7196457,-0.3075267
1894-06,-0.5753623,-0.784475,-0.36624962
1894-07,-0.39780384,-0.5995174,-0.19609027
1894-08,-0.35528293,-0.5702839,-0.14028198
1894-09,-0.43932238,-0.62965655,-0.24898827
1894-10,-0.3980482,-0.5820344,-0.21406196
